driverid,constructor,driver
1,Mercedes, Lewis Hamilton
822,Mercedes, Valterri Bottas
830,Red Bull, Max Verstappen 
815,Red Bull, Sergio Perez
844,Ferrari, Charles Leclerc
832,Ferrari, Carlos Sainz
840,Aston Martin, Lance Stroll
20,Aston Martin, Sebastian Vettel
839,Alpine, Esteben Ocon
4,Alpine, Fernando Alonso
854,Haas, Mick Schumacher
853,Haas, Nikita Mazepin
852,AlphaTauri, Yuki Tsunoda
842,AlphaTauri, Pierre Gasly
847,Williams, George Russell
849,Williams, Nicholas Latifi
846,McLaren, Lando Norris
817,McLaren, Daniel Riccardo
8,Alfa Romeo, Kimi Raikkonen
841,Alfa Romeo, Antonio Giovinazzi
