Driver Id,Constructor,Driver
1,Mercedes, Lewis Hamilton
847,Mercedes, George Russell
830,Red Bull, Max Verstappen
815,Red Bull, Sergio Perez
844,Ferrari, Charles Leclerc
832,Ferrari, Carlos Sainz
840,Aston Martin, Lance Stroll
20,Aston Martin, Sebastian Vettel
839,Alpine, Esteben Ocon
4,Alpine, Fernando Alonso
854,Haas, Mick Schumacher
825,Haas, Kevin Magnussen
852,AlphaTauri, Yuki Tsunoda
842,AlphaTauri, Pierre Gasly
848,Williams, Alex Albon
849,Williams, Nicholas Latifi
846,McLaren, Lando Norris
817,McLaren, Daniel Riccardo
855,Alfa Romeo, Zhou Guanyu
822,Alfa Romeo, Valterri Bottas
